state,year,yearly_avg_snow,yearly_max_temp,yearly_min_temp,yearly_avg_temp,yearly_avg_prcp,yearly_min_prcp,yearly_max_prcp,avg_snow_summer,avg_snow_winter,max_temp_summer,max_temp_winter,min_temp_summer,min_temp_winter,avg_temp_summer,avg_temp_winter,avg_prcp_summer,avg_prcp_winter,total pop,in-state pop,percentage,top1,top1 state
Massachusetts,2008,5.269166666666667,83.2,19.7,50.21666666666666,4.920833333333333,2.03,8.6,0.0,12.645999999999999,83.2,49.7,39.2,19.7,61.80428571428571,33.99400000000001,4.307142857142857,5.779999999999999,827774,674326,18.537426882216646,19088,New York
Massachusetts,2009,5.635833333333333,80.9,11.7,48.967499999999994,4.138333333333333,2.08,8.45,0.27142857142857146,13.146,80.9,54.8,38.9,11.7,60.26714285714285,33.148,4.635714285714286,3.442,826339,677839,17.97083279380496,22409,New York
Massachusetts,2010,4.321666666666666,86.4,18.2,51.70249999999999,4.5391666666666675,1.87,14.64,0.0,10.372,86.4,51.0,41.4,18.2,64.11857142857143,34.32000000000001,3.3857142857142857,6.154,6430436,6290274,2.1796655778861695,20002,New York
Massachusetts,2011,6.594999999999999,85.7,15.2,51.22416666666666,5.0583333333333345,2.21,9.43,1.5142857142857142,13.708000000000002,85.7,58.5,39.0,15.2,62.728571428571435,35.118,5.607142857142857,4.29,6455039,6315209,2.16621464254515,19431,New York
Massachusetts,2012,2.5766666666666667,83.6,21.8,52.56999999999999,3.393333333333333,1.17,5.86,0.0,6.184,83.6,55.2,38.9,21.8,63.21142857142856,37.672,3.9799999999999995,2.572,6521123,6378546,2.186387221955477,19467,New York
Massachusetts,2013,7.575,84.8,19.7,50.0225,3.8366666666666664,1.05,10.89,0.0,18.18,84.8,50.7,36.3,19.7,62.199999999999996,32.974000000000004,3.7842857142857147,3.91,6560355,6425205,2.060101930459557,16555,New York
Massachusetts,2014,5.7124999999999995,82.1,14.2,49.115833333333335,4.2749999999999995,1.28,7.39,0.08142857142857142,13.595999999999998,82.1,49.5,35.7,14.2,61.661428571428566,31.552,3.788571428571429,4.956,6603876,6457254,2.2202415672250675,20548,New York
Massachusetts,2015,10.060833333333333,82.7,5.3,50.060833333333335,3.3033333333333332,1.09,5.43,0.01,24.131999999999998,82.7,55.8,37.7,5.3,62.751428571428576,32.294,3.045714285714286,3.664,6660937,6528295,1.9913414584164402,23014,New York
Massachusetts,2016,4.675,85.1,19.8,51.593333333333334,3.164166666666666,1.48,6.36,1.5042857142857142,9.114,85.1,53.5,34.6,19.8,62.709999999999994,36.03000000000001,2.89,3.5479999999999996,6672446,6523038,2.239178855849866,21876,New York
Massachusetts,2017,5.364166666666666,80.1,19.4,50.683333333333316,3.9383333333333344,1.59,6.31,0.3242857142857143,12.419999999999998,80.1,51.3,40.5,19.4,62.871428571428574,33.620000000000005,4.3585714285714285,3.35,6712145,6565846,2.179616203166057,22782,New York
Massachusetts,2018,6.5,84.8,16.5,50.62500000000001,5.094166666666667,2.07,9.86,0.5285714285714286,14.86,84.8,48.9,32.7,16.5,62.43714285714285,34.088,4.6000000000000005,5.786,6768047,6624005,2.1282653622234027,19960,New York
Massachusetts,2019,4.6775,86.6,15.5,50.11833333333333,4.504166666666666,1.88,7.52,0.0,11.226,86.6,49.9,38.2,15.5,62.451428571428586,32.852,4.598571428571428,4.372000000000001,6764221,6620142,2.1300161541144225,17143,New York
Massachusetts,2021,3.5033333333333334,83.7,21.8,52.1575,4.694166666666667,1.65,11.84,0.5,7.708,83.7,52.1,37.8,21.8,63.941428571428574,35.660000000000004,6.222857142857143,2.554,6865424,6707113,2.3059173038693648,24489,New York
Massachusetts,2022,5.014166666666667,86.6,13.9,51.87416666666667,3.4075,1.65,5.25,0.0,12.034,86.6,56.6,38.2,13.9,63.48428571428571,35.62,2.9457142857142857,4.054,6842997,6671920,2.5000303229710585,21186,New York
